Unnamed: 0,Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",latitude,longitude
11,"14 Godfrey Crescent, 
DANDENONG VIC 3175",DANDENONG,620.0,54169.0,5306.299999999999,105.8,35871.0,0.0,0.0,207.0,259.0,263.0,438.0,69.0,331.0,24.0,110.0,12152.0,5534.0,2756.0,992.0,7356.0,1157.0,1364.0,-37.9741505,145.2151626
12,"603/628 Flinders Street, 
DOCKLANDS VIC 3008",DOCKLANDS,650.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
13,"3515/628 Flinders Street, 
DOCKLANDS VIC 3008",DOCKLANDS,650.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
14,"405/1 Point Park Crescent, 
DOCKLANDS VIC 3008",DOCKLANDS,620.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,-37.8240463,144.9419455
15,"4006/628 Flinders Street, 
DOCKLANDS VIC 3008",DOCKLANDS,620.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
16,"2901/231 Harbour Esplanade, 
DOCKLANDS VIC 3008",DOCKLANDS,620.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
17,"218/60 Siddeley Street, 
DOCKLANDS VIC 3008",DOCKLANDS,620.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,-37.8221926,144.9537484
18,"2309A/100 Harbour Esplanade, 
DOCKLANDS VIC 3008",DOCKLANDS,620.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
19,"1316/628 Flinders Street, 
DOCKLANDS VIC 3008",DOCKLANDS,620.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
20,"42 Resort Boulevard, 
DOREEN VIC 3754",DOREEN,620.0,27064.0,3853.6,66.6,17539.0,0.0,0.0,144.0,81.0,38.0,83.0,13.0,42.0,9.0,93.0,8611.0,492.0,32.0,786.0,1856.0,37.0,446.0,-37.6041653,145.1175206
21,"6/198 Sherbourne Road, 
ELTHAM VIC 3095",ELTHAM,620.0,23711.0,1216.7,43.1,15046.0,0.0,0.0,21.0,189.0,101.0,106.0,53.0,66.0,9.0,32.0,7485.0,431.0,624.0,446.0,856.0,36.0,319.0,-37.7166113,145.137191
22,"1/166 Ogilvie Street, 
ESSENDON VIC 3040",ESSENDON,620.0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,-37.7451927,144.8933596
23,"1702/6 Joseph road, 
FOOTSCRAY VIC 3011",FOOTSCRAY,620.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,-37.7982376,144.914181
24,"2/24 Panorama Street, 
CLAYTON VIC 3168",CLAYTON,690.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,-37.9183617,145.1299002
25,"80 Hartliegh Street, 
CLYDE VIC 3978",CLYDE,690.0,25665.0,2310.5,61.8,16978.0,0.0,0.0,51.0,73.0,56.0,126.0,12.0,69.0,6.0,383.0,7644.0,171.0,0.0,831.0,1459.0,54.0,404.0,,
26,"2606N/889 Collins Street, 
DOCKLANDS VIC 3008",DOCKLANDS,690.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
27,"301/231 Harbour Esplanade, 
DOCKLANDS VIC 3008",DOCKLANDS,690.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
28,"2/41 Dickens Street, 
ELWOOD VIC 3184",ELWOOD,690.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,-37.8732588,144.9823241
29,"4/110 Bradshaw Street, 
ESSENDON VIC 3040",ESSENDON,690.0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,-37.7489978,144.8938795
30,"3/15 Morton Street, 
ESSENDON VIC 3040",ESSENDON,690.0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,-37.7458503,144.9195606
31,"19 Weighbridge Lane, 
FLEMINGTON VIC 3031",FLEMINGTON,690.0,9190.0,5813.5,34.2,6950.0,0.0,0.0,44.0,62.0,32.0,28.0,13.0,46.0,3.0,17.0,926.0,940.0,3285.0,324.0,2456.0,56.0,579.0,,
32,"2/24 Bayview Road, 
FRANKSTON VIC 3199",FRANKSTON,690.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,-38.1565484,145.1236463
33,"999 Heidelberg Road, 
IVANHOE VIC 3079",IVANHOE,690.0,12561.0,2487.4,40.9,8357.0,0.0,0.0,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,-37.7728723,145.0405781
34,"19 Weighbridge Lane, 
KENSINGTON VIC 3031",KENSINGTON,690.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,-37.78961535,144.9246049594702
35,"16 Roycroft Avenue, 
BURNSIDE VIC 3023",BURNSIDE,700.0,5855.0,2294.3,37.3,3726.0,0.0,0.0,0.0,10.0,13.0,22.0,3.0,11.0,0.0,20.0,1561.0,309.0,15.0,400.0,173.0,4.0,99.0,-37.751316,144.7505388
36,"29 Browns Road, 
CLAYTON VIC 3168",CLAYTON,700.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,-37.9251284,145.1270101
37,"G05/2-8 Murray Street, 
CLAYTON VIC 3168",CLAYTON,700.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,,
38,"12A McBean Street, 
CLAYTON VIC 3168",CLAYTON,700.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,-37.9239051,145.1105519
39,GLENROY VIC 3046,GLENROY,330.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,-37.7028199,144.9275403
40,"1/6 Bruce Street, 
LAVERTON VIC 3028",LAVERTON,330.0,11643.0,523.4,32.2,8591.0,0.0,0.0,56.0,65.0,44.0,122.0,25.0,78.0,9.0,77.0,3606.0,529.0,268.0,380.0,1729.0,69.0,578.0,-37.866523,144.7668638
41,"1/3A Kinloch Road, 
MELTON VIC 3337",MELTON,330.0,29470.0,1696.4,72.0,18722.0,0.0,0.0,314.0,114.0,37.0,80.0,16.0,67.0,9.0,35.0,9829.0,1008.0,77.0,640.0,2756.0,164.0,344.0,-37.6887521,144.5696647
42,"1/35 Corrigan Road, 
NOBLE PARK VIC 3174",NOBLE PARK,330.0,40239.0,9559.5,110.7,27249.0,0.0,0.0,113.0,105.0,52.0,254.0,31.0,125.0,4.0,38.0,10611.0,2076.0,2758.0,1028.0,5145.0,608.0,1226.0,-37.9645055,145.1685427
43,"1 O'Connell Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,330.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,-37.8025113,144.9567953
44,"219/3-11 High Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,330.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,,
45,"1/30 Aberdeen Grove, 
NORTHCOTE VIC 3070",NORTHCOTE,330.0,25657.0,8297.0,74.6,18476.0,0.0,0.0,100.0,278.0,75.0,87.0,49.0,135.0,3.0,56.0,5484.0,3192.0,2914.0,951.0,3882.0,89.0,1008.0,-37.7743699,144.9925536
46,"3/18 Quick Street, 
PASCOE VALE VIC 3044",PASCOE VALE,330.0,17409.0,3759.2,36.3,11989.0,0.0,0.0,74.0,87.0,43.0,53.0,25.0,67.0,4.0,43.0,3615.0,3784.0,286.0,400.0,2351.0,15.0,575.0,-37.7195853,144.9308469
47,"5/90 Roseberry Avenue, 
PRESTON VIC 3072",PRESTON,1434.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,-37.7389885,145.0056975
48,"2/5 Furzer Street, 
PRESTON VIC 3072",PRESTON,330.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,-37.7280871,144.9855005
49,"6/99 Barton Street, 
RESERVOIR VIC 3073",RESERVOIR,330.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,-37.7115111,145.0029235
50,"8/164 Leamington Street, 
RESERVOIR VIC 3073",RESERVOIR,330.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,-37.7127543,145.0045671
51,"5/27 Geach Street, 
BROADMEADOWS VIC 3047",BROADMEADOWS,370.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,,
52,"110B/1091 Plenty Road, 
BUNDOORA VIC 3083",BUNDOORA,370.0,16164.0,4872.6,79.4,10317.0,0.0,0.0,73.0,124.0,41.0,71.0,14.0,67.0,3.0,26.0,5611.0,730.0,188.0,765.0,1484.0,120.0,407.0,,
53,"2/34 Tranmere Avenue, 
CARNEGIE VIC 3163",CARNEGIE,370.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,-37.8901244,145.061061
54,"4/9 Rosstown Road, 
CARNEGIE VIC 3163",CARNEGIE,370.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,-37.8851298,145.0545986
55,"1/32 Clarence Street, 
ELSTERNWICK VIC 3185",ELSTERNWICK,370.0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,-37.8921526,145.0101623
56,"4/11 Downshire Road, 
ELSTERNWICK VIC 3185",ELSTERNWICK,370.0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,-37.8856591,145.0073583
57,"20/57 Dover Street, 
FLEMINGTON VIC 3031",FLEMINGTON,370.0,9190.0,5813.5,34.2,6950.0,0.0,0.0,44.0,62.0,32.0,28.0,13.0,46.0,3.0,17.0,926.0,940.0,3285.0,324.0,2456.0,56.0,579.0,-37.7829416,144.9241179
58,"1/37 Heatherhill Road, 
FRANKSTON VIC 3199",FRANKSTON,370.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,-38.1712397,145.1576362
59,"53 West St, 
GLENROY VIC 3046",GLENROY,370.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,-37.7009546,144.9394072
60,"38 Vermont Parade, 
GREENSBOROUGH VIC 3088",GREENSBOROUGH,400.0,20997.0,2079.4,41.7,12959.0,0.0,0.0,49.0,110.0,89.0,51.0,30.0,60.0,5.0,31.0,6857.0,1184.0,212.0,400.0,1385.0,41.0,399.0,-37.706903,145.0965322
61,"5/25-29 Kays Avenue, 
HALLAM VIC 3803",HALLAM,370.0,11603.0,1440.2,36.2,7445.0,0.0,0.0,22.0,47.0,63.0,70.0,17.0,61.0,5.0,6.0,3000.0,836.0,50.0,361.0,918.0,121.0,192.0,,
62,"24 Robertson Crescent, 
LAVERTON VIC 3028",LAVERTON,370.0,11643.0,523.4,32.2,8591.0,0.0,0.0,56.0,65.0,44.0,122.0,25.0,78.0,9.0,77.0,3606.0,529.0,268.0,380.0,1729.0,69.0,578.0,-37.8484045,144.7773286
63,"39B Hampshire Rd, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,480.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,-37.9010149,145.1460805
64,"8 Fitzgerald Road, 
HALLAM VIC 3803",HALLAM,480.0,11603.0,1440.2,36.2,7445.0,0.0,0.0,22.0,47.0,63.0,70.0,17.0,61.0,5.0,6.0,3000.0,836.0,50.0,361.0,918.0,121.0,192.0,-38.0083481,145.2787051
65,"50 Wattle Valley Drive, 
HILLSIDE VIC 3037",HILLSIDE,500.0,16335.0,2089.8,36.3,11585.0,0.0,0.0,20.0,64.0,30.0,56.0,15.0,47.0,6.0,10.0,4657.0,506.0,108.0,380.0,689.0,11.0,257.0,-37.6862844,144.7398349
66,"58 Melfin Drive, 
HILLSIDE VIC 3037",HILLSIDE,480.0,16335.0,2089.8,36.3,11585.0,0.0,0.0,20.0,64.0,30.0,56.0,15.0,47.0,6.0,10.0,4657.0,506.0,108.0,380.0,689.0,11.0,257.0,-37.6851926,144.7465818
67,"24 Toulouse Crescent, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,480.0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,-37.8543766,144.6710758
68,"6/94 St Elmo Road, 
IVANHOE VIC 3079",IVANHOE,480.0,12561.0,2487.4,40.9,8357.0,0.0,0.0,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,-37.758512,145.0469764
69,"4/88 Marshall Street, 
IVANHOE VIC 3079",IVANHOE,480.0,12561.0,2487.4,40.9,8357.0,0.0,0.0,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,-37.7684919,145.0473214
70,"316/80 Ormond Street, 
KENSINGTON VIC 3031",KENSINGTON,480.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,-37.7987396,144.9269624
71,"506/70 Speakmen Street, 
KENSINGTON VIC 3031",KENSINGTON,480.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,-37.7943391,144.9169988
72,"53 Bundeena Avenue, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,480.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,-37.9874335,145.1730815
73,"4 Somerset Drive, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,480.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,-37.9874145,145.1827552
74,"7 Louise Street, 
LALOR VIC 3075",LALOR,480.0,23663.0,4579.1,75.1,15020.0,0.0,0.0,121.0,74.0,31.0,96.0,17.0,79.0,7.0,42.0,7707.0,515.0,572.0,716.0,2182.0,154.0,648.0,-37.6676693,145.0289612
75,"6/27 Malvern Grove, 
CAULFIELD VIC 3162",CAULFIELD,640.0,40971.0,7386.8,76.8,25978.0,0.0,0.0,49.0,627.0,536.0,223.0,109.0,173.0,19.0,408.0,7171.0,4995.0,5734.0,909.0,5319.0,186.0,1183.0,-37.870004,145.029248
76,"2/101 Point Nepean Road, 
DROMANA VIC 3936",DROMANA,640.0,13460.0,298.7,51.4,7548.0,0.0,0.0,53.0,52.0,44.0,62.0,23.0,66.0,3.0,95.0,7246.0,1339.0,224.0,405.0,1276.0,10.0,58.0,-38.3299025,144.9705945
77,"2 Lee Street, 
FLEMINGTON VIC 3031",FLEMINGTON,640.0,9190.0,5813.5,34.2,6950.0,0.0,0.0,44.0,62.0,32.0,28.0,13.0,46.0,3.0,17.0,926.0,940.0,3285.0,324.0,2456.0,56.0,579.0,-37.7833877,144.9297263
78,"8 Derby Street, 
KENSINGTON VIC 3031",KENSINGTON,640.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,-37.7953234,144.9264007370753
79,"109A Hansworth Street, 
MULGRAVE VIC 3170",MULGRAVE,640.0,20078.0,1873.1,39.7,12646.0,0.0,0.0,23.0,148.0,124.0,138.0,37.0,93.0,7.0,53.0,6123.0,1229.0,25.0,430.0,1530.0,93.0,366.0,-37.9335586,145.1881099
80,"C706/111 Canning Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,640.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,,
81,"1/73 Winifred Street, 
OAK PARK VIC 3046",OAK PARK,640.0,7976.0,3389.3,35.8,5661.0,0.0,0.0,17.0,33.0,17.0,26.0,6.0,25.0,0.0,22.0,1783.0,1425.0,230.0,401.0,985.0,18.0,370.0,-37.7208324,144.9152603
82,"4/8 Gregory St, 
OAK PARK VIC 3046",OAK PARK,640.0,7976.0,3389.3,35.8,5661.0,0.0,0.0,17.0,33.0,17.0,26.0,6.0,25.0,0.0,22.0,1783.0,1425.0,230.0,401.0,985.0,18.0,370.0,-37.7228448,144.9152584
83,"19 Mcivor Street, 
BROADMEADOWS VIC 3047",BROADMEADOWS,490.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,,
84,"3/3 Gerbert Street, 
BROADMEADOWS VIC 3047",BROADMEADOWS,490.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,-37.6878621,144.933099
85,"1/20 Walsh Street, 
BROADMEADOWS VIC 3047",BROADMEADOWS,490.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,-37.6885487,144.9226318
86,"2/20 Walsh Street, 
BROADMEADOWS VIC 3047",BROADMEADOWS,490.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,-37.6885487,144.9226318
87,"215/21 Plenty Road, 
BUNDOORA VIC 3083",BUNDOORA,490.0,16164.0,4872.6,79.4,10317.0,0.0,0.0,73.0,124.0,41.0,71.0,14.0,67.0,3.0,26.0,5611.0,730.0,188.0,765.0,1484.0,120.0,407.0,-37.7049398,145.0545296
88,"65 Leichhardt Avenue, 
BURNSIDE HEIGHTS VIC 3023",BURNSIDE HEIGHTS,490.0,6442.0,3228.4,33.4,4211.0,0.0,0.0,3.0,20.0,14.0,36.0,5.0,17.0,3.0,1.0,1637.0,170.0,0.0,411.0,309.0,6.0,120.0,-37.735225,144.7555433
89,"4 Studley Park Way, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,490.0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,-37.7255847,144.740307
90,"26 Yaralla Circuit, 
CLYDE VIC 3978",CLYDE,490.0,25665.0,2310.5,61.8,16978.0,0.0,0.0,51.0,73.0,56.0,126.0,12.0,69.0,6.0,383.0,7644.0,171.0,0.0,831.0,1459.0,54.0,404.0,-38.1223955,145.3461027
91,"204M/60 Stanley Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,490.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,,
92,"2/284-286 Neerim Rd, 
CARNEGIE VIC 3163",CARNEGIE,500.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,-37.8889383,145.0566128
